案件番号,表題,フォルダ,尺,尺(秒),解像度,比率,向き,fps,映像,音声,ビットレート(Mbps),容量(MB),軽量版,ファイル名,相対パス,軽量版パス
45,pre14_エクセディ,（直下）,2:50,170.4,1920x1080,16:9,横,29.97,h264,aac,14.7,313,あり,（45）pre14_エクセディ.mp4,（45）pre14_エクセディ.mp4,（45）pre14_エクセディ_1.mp4
45,興亜工業_機密書類溶解処理　説明,（直下）,2:36,155.8,1920x1080,16:9,横,30.0,h264,aac,8.9,172,あり,（45）興亜工業_機密書類溶解処理　説明.mp4,（45）興亜工業_機密書類溶解処理　説明.mp4,（45）興亜工業_機密書類溶解処理　説明_1.mp4
50,サービス_広報_会社・施設紹介_刀_プリンスホテル_プレス発表用歴史動画,（直下）,1:29,89.1,1920x1080,16:9,横,29.97,h264,aac,5.4,60,あり,（50）サービス_広報_会社・施設紹介_刀_プリンスホテル_プレス発表用歴史動画.mp4,（50）サービス_広報_会社・施設紹介_刀_プリンスホテル_プレス発表用歴史動画.mp4,（50）サービス_広報_会社・施設紹介_刀_プリンスホテル_プレス発表用歴史動画_1.mp4
50,株式会社プライムステージ_クラウン70thヒストリームービー_外注,（直下）,4:07,246.6,1920x1080,16:9,横,29.97,h264,aac,19.1,588,あり,（50）株式会社プライムステージ_クラウン70thヒストリームービー_外注.mp4,（50）株式会社プライムステージ_クラウン70thヒストリームービー_外注.mp4,（50）株式会社プライムステージ_クラウン70thヒストリームービー_外注_1.mp4
55,製造業 展示会 ガリレイ 富士精版印刷株式会社,（直下）,1:57,116.8,1920x1080,16:9,横,29.97,h264,aac,5.8,85,あり,（55）製造業 展示会 ガリレイ 富士精版印刷株式会社.mp4,（55）製造業 展示会 ガリレイ 富士精版印刷株式会社.mp4,（55）製造業 展示会 ガリレイ 富士精版印刷株式会社_1.mp4
60,Marketing Touch PV_ソネット・メディア・ネットワークス株式会社,（直下）,1:44,104.1,1920x1080,16:9,横,29.97,h264,aac,5.6,73,あり,（60）Marketing Touch PV_ソネット・メディア・ネットワークス株式会社.mp4,（60）Marketing Touch PV_ソネット・メディア・ネットワークス株式会社.mp4,（60）Marketing Touch PV_ソネット・メディア・ネットワークス株式会社_1.mp4
60,オルイエント EXPO2025 in Osaka_日本イーライリリー_JCD,（直下）,1:11,70.7,1920x1080,16:9,横,29.97,h264,aac,9.6,85,あり,（60）オルイエント EXPO2025 in Osaka_日本イーライリリー_JCD.mp4,（60）オルイエント EXPO2025 in Osaka_日本イーライリリー_JCD.mp4,（60）オルイエント EXPO2025 in Osaka_日本イーライリリー_JCD_1.mp4
60,ホシザキ株式会社｜HCJ2024 新製品ラインナップ,（直下）,2:03,122.6,1920x1080,16:9,横,29.97,h264,aac,5.3,81,あり,（60）ホシザキ株式会社｜HCJ2024 新製品ラインナップ.mp4,（60）ホシザキ株式会社｜HCJ2024 新製品ラインナップ.mp4,（60）ホシザキ株式会社｜HCJ2024 新製品ラインナップ_1.mp4
60,地区防災計画ビデオ「防災やってみた！シリーズ 避難集会所」,（直下）,2:32,152.4,1920x1080,16:9,横,29.97,h264,aac,5.4,103,あり,（60）地区防災計画ビデオ「防災やってみた！シリーズ 避難集会所」.mp4,（60）地区防災計画ビデオ「防災やってみた！シリーズ 避難集会所」.mp4,（60）地区防災計画ビデオ「防災やってみた！シリーズ 避難集会所」_1.mp4
70,日本イーライリリー　オープニングムービー制作（Lillyオンコロジー領域）,（直下）,1:27,86.5,1920x1080,16:9,横,23.976,h264,aac,12.6,137,あり,（70）日本イーライリリー　オープニングムービー制作（Lillyオンコロジー領域）.mp4,（70）日本イーライリリー　オープニングムービー制作（Lillyオンコロジー領域）.mp4,（70）日本イーライリリー　オープニングムービー制作（Lillyオンコロジー領域）_1.mp4
70,阪和興業_キャリタス_会社説明動画,（直下）,2:28,147.8,1920x1080,16:9,横,29.97,h264,aac,10.2,188,あり,（70）阪和興業_キャリタス_会社説明動画.mp4,（70）阪和興業_キャリタス_会社説明動画.mp4,（70）阪和興業_キャリタス_会社説明動画_1.mp4
75,SEMICON Japan 2025用_製品ラインナップ動画_株式会社ダイヘン_株式会社写真化学_外注,（直下）,3:03,183.1,1920x1080,16:9,横,29.97,h264,aac,8.8,201,あり,（75）SEMICON Japan 2025用_製品ラインナップ動画_株式会社ダイヘン_株式会社写真化学_外注.mp4,（75）SEMICON Japan 2025用_製品ラインナップ動画_株式会社ダイヘン_株式会社写真化学_外注.mp4,（75）SEMICON Japan 2025用_製品ラインナップ動画_株式会社ダイヘン_株式会社写真化学_外注_1.mp4
75,チョイスホテルズ　コンフォートERA_タグラインサイネージ_シンクスデザイニングプロ,（直下）,1:00,60.0,1920x1080,16:9,横,29.97,h264,aac,8.6,64,あり,（75）チョイスホテルズ　コンフォートERA_タグラインサイネージ_シンクスデザイニングプロ.mp4,（75）チョイスホテルズ　コンフォートERA_タグラインサイネージ_シンクスデザイニングプロ.mp4,（75）チョイスホテルズ　コンフォートERA_タグラインサイネージ_シンクスデザイニングプロ_1.mp4
75,ニプロ_Surdial fleX機能紹介動画,（直下）,5:14,314.2,1920x1080,16:9,横,29.97,h264,aac,7.2,282,あり,（75）ニプロ_Surdial fleX機能紹介動画.mp4,（75）ニプロ_Surdial fleX機能紹介動画.mp4,（75）ニプロ_Surdial fleX機能紹介動画_1.mp4
77,教育_プロモーション_大阪大学_海外向け拠点紹介動画_ゼニス,（直下）,2:16,136.4,1920x1080,16:9,横,29.97,h264,aac,5.3,91,あり,（77）教育_プロモーション_大阪大学_海外向け拠点紹介動画_ゼニス.mp4,（77）教育_プロモーション_大阪大学_海外向け拠点紹介動画_ゼニス.mp4,（77）教育_プロモーション_大阪大学_海外向け拠点紹介動画_ゼニス_1.mp4
79,シーズ丨AZ対談コンテンツ＠大阪_AZ会議室_アストラゼネカ_株式会社シーズ,（直下）,7:19,439.4,1280x720,16:9,横,29.97,h264,aac,5.4,296,あり,（79）シーズ丨AZ対談コンテンツ＠大阪_AZ会議室_アストラゼネカ_株式会社シーズ.mp4,（79）シーズ丨AZ対談コンテンツ＠大阪_AZ会議室_アストラゼネカ_株式会社シーズ.mp4,（79）シーズ丨AZ対談コンテンツ＠大阪_AZ会議室_アストラゼネカ_株式会社シーズ_1.mp4
80,グローバルウィザス_拠点PR映像,（直下）,3:31,211.0,1920x1080,16:9,横,29.97,h264,aac,10.5,276,あり,（80）グローバルウィザス_拠点PR映像.mp4,（80）グローバルウィザス_拠点PR映像.mp4,（80）グローバルウィザス_拠点PR映像_1.mp4
85,アイニコ_シネアド,（直下）,0:15,15.0,1920x1080,16:9,横,29.97,h264,aac,20.6,39,あり,（85）アイニコ_シネアド.mp4,（85）アイニコ_シネアド.mp4,（85）アイニコ_シネアド_1.mp4
88,株式会社リライフ_社員インタビュー動画,（直下）,4:46,285.7,1920x1080,16:9,横,29.97,h264,aac,10.2,365,あり,（88）株式会社リライフ_社員インタビュー動画.mp4,（88）株式会社リライフ_社員インタビュー動画.mp4,（88）株式会社リライフ_社員インタビュー動画_1.mp4
91,アストラゼネカ_対談_シーズ_外注,（直下）,6:23,383.2,1280x720,16:9,横,29.97,h264,aac,11.2,537,あり,（91）アストラゼネカ_対談_シーズ_外注.mp4,（91）アストラゼネカ_対談_シーズ_外注.mp4,（91）アストラゼネカ_対談_シーズ_外注_1.mp4
92,インナー向け新AIサービス動画改訂｜Lilly_日本イーライリリー_外注,（直下）,2:54,173.9,1920x1080,16:9,横,29.97,h264,aac,8.4,182,あり,（92）インナー向け新AIサービス動画改訂｜Lilly_日本イーライリリー_外注.mp4,（92）インナー向け新AIサービス動画改訂｜Lilly_日本イーライリリー_外注.mp4,（92）インナー向け新AIサービス動画改訂｜Lilly_日本イーライリリー_外注_1.mp4
96,シーズ丨AZ社員対談動画_外注：亀山,（直下）,7:07,427.1,1280x720,16:9,横,29.97,h264,aac,5.3,282,あり,（96）シーズ丨AZ社員対談動画_外注：亀山.mp4,（96）シーズ丨AZ社員対談動画_外注：亀山.mp4,（96）シーズ丨AZ社員対談動画_外注：亀山_1.mp4
96,シーズ丨AZ社員対談動画_第三弾,（直下）,6:52,412.0,1280x720,16:9,横,29.97,h264,aac,5.6,286,あり,（96）シーズ丨AZ社員対談動画_第三弾.mp4,（96）シーズ丨AZ社員対談動画_第三弾.mp4,（96）シーズ丨AZ社員対談動画_第三弾_1.mp4
99,株式会社ダイヘン_株式会社写真化学_ダイヘン_ロボットアーム,（直下）,1:01,61.3,1920x1080,16:9,横,29.97,h264,aac,10.3,79,あり,（99）株式会社ダイヘン_株式会社写真化学_ダイヘン_ロボットアーム.mp4,（99）株式会社ダイヘン_株式会社写真化学_ダイヘン_ロボットアーム.mp4,（99）株式会社ダイヘン_株式会社写真化学_ダイヘン_ロボットアーム_1.mp4
100,株式会社写真化学　奥野製薬工業株式会社　工場工程動画,（直下）,3:10,190.1,1920x1080,16:9,横,29.97,h264,aac,10.2,243,あり,（100）株式会社写真化学　奥野製薬工業株式会社　工場工程動画.mp4,（100）株式会社写真化学　奥野製薬工業株式会社　工場工程動画.mp4,（100）株式会社写真化学　奥野製薬工業株式会社　工場工程動画_1.mp4
100,流通 - 小売 プロモーション　MIZUNO スタ通 ソフトテニス　モーショングラフィック,（直下）,0:42,42.0,1920x1080,16:9,横,29.97,h264,aac,2.3,12,,（100）流通 - 小売 プロモーション　MIZUNO スタ通 ソフトテニス　モーショングラフィック.mp4,（100）流通 - 小売 プロモーション　MIZUNO スタ通 ソフトテニス　モーショングラフィック.mp4,
100,流通 : 小売 プロモーション　MIZUNO スタ通 ソフトテニス　モーショングラフィック,（直下）,0:42,42.0,1920x1080,16:9,横,29.97,h264,aac,5.2,27,,（100）流通 : 小売 プロモーション　MIZUNO スタ通 ソフトテニス　モーショングラフィック.mp4,（100）流通 : 小売 プロモーション　MIZUNO スタ通 ソフトテニス　モーショングラフィック.mp4,
108,日本ペイント グッジョブ保証,（直下）,1:13,72.5,1920x1080,16:9,横,29.97,h264,aac,6.0,54,あり,（108）日本ペイント グッジョブ保証.mp4,（108）日本ペイント グッジョブ保証.mp4,（108）日本ペイント グッジョブ保証_1.mp4
125,株式会社ライオンハート_南デザイン_会社ブランディング動画,（直下）,2:07,126.9,1920x1080,16:9,横,23.976,h264,aac,21.3,338,あり,（125）株式会社ライオンハート_南デザイン_会社ブランディング動画.mp4,（125）株式会社ライオンハート_南デザイン_会社ブランディング動画.mp4,（125）株式会社ライオンハート_南デザイン_会社ブランディング動画_1.mp4
125,株式会社ライオンハート_南デザイン_施設紹介動画,（直下）,3:04,183.6,1920x1080,16:9,横,23.976,h264,aac,25.3,581,あり,（125）株式会社ライオンハート_南デザイン_施設紹介動画.mp4,（125）株式会社ライオンハート_南デザイン_施設紹介動画.mp4,（125）株式会社ライオンハート_南デザイン_施設紹介動画_1.mp4
128,写真化学_ニプロ_NCV-5プロモーション動画,（直下）,1:56,115.7,1920x1080,16:9,横,29.97,h264,aac,10.4,151,あり,（128）写真化学_ニプロ_NCV-5プロモーション動画.mp4,（128）写真化学_ニプロ_NCV-5プロモーション動画.mp4,（128）写真化学_ニプロ_NCV-5プロモーション動画_1.mp4
132,阪和興業_キャリタス_会社説明動画,（直下）,2:28,147.8,1920x1080,16:9,横,29.97,h264,aac,10.2,188,あり,（132）阪和興業_キャリタス_会社説明動画.mp4,（132）阪和興業_キャリタス_会社説明動画.mp4,（132）阪和興業_キャリタス_会社説明動画_1.mp4
133,ICSデジタルクリップ｜日本ICS_外注,（直下）,2:39,159.1,1920x1080,16:9,横,29.97,h264,aac,4.6,92,あり,（133）ICSデジタルクリップ｜日本ICS_外注.mp4,（133）ICSデジタルクリップ｜日本ICS_外注.mp4,（133）ICSデジタルクリップ｜日本ICS_外注_1.mp4
133,写真化学_ニプロ_NAZ-1プロモーション動画,（直下）,1:52,111.5,1920x1080,16:9,横,29.97,h264,aac,10.4,145,あり,（133）写真化学_ニプロ_NAZ-1プロモーション動画.mp4,（133）写真化学_ニプロ_NAZ-1プロモーション動画.mp4,（133）写真化学_ニプロ_NAZ-1プロモーション動画_1.mp4
133,請求書管理オプションfor DX Connect Gate｜日本ICS_外注,（直下）,3:11,190.7,1920x1080,16:9,横,29.97,h264,aac,4.2,100,あり,（133）請求書管理オプションfor DX Connect Gate｜日本ICS_外注.mp4,（133）請求書管理オプションfor DX Connect Gate｜日本ICS_外注.mp4,（133）請求書管理オプションfor DX Connect Gate｜日本ICS_外注_1.mp4
138,なんつね｜100周年記念式典オープニング,（直下）,1:55,115.0,1920x1080,16:9,横,29.97,h264,aac,10.3,148,あり,（138）なんつね｜100周年記念式典オープニング.mp4,（138）なんつね｜100周年記念式典オープニング.mp4,（138）なんつね｜100周年記念式典オープニング_1.mp4
144,J5_教育・Eラーニング_医療・製薬_シーズ_AstraZenecaTVセミナーコンテンツ＠兵庫永橋先生_ホワイトボードアニメーション,（直下）,8:34,513.8,1280x720,16:9,横,29.97,h264,aac,2.7,172,あり,（144）J5_教育・Eラーニング_医療・製薬_シーズ_AstraZenecaTVセミナーコンテンツ＠兵庫永橋先生_ホワイトボードアニメーション.mp4,（144）J5_教育・Eラーニング_医療・製薬_シーズ_AstraZenecaTVセミナーコンテンツ＠兵庫永橋先生_ホワイトボードアニメーション.mp4,（144）J5_教育・Eラーニング_医療・製薬_シーズ_AstraZenecaTVセミナーコンテンツ＠兵庫永橋先生_ホワイトボードアニメーション_1.mp4
145,トンボ学生服_工場紹介｜ディライト,（直下）,4:06,245.6,1920x1080,16:9,横,59.94,h264,aac,10.7,327,あり,（145）トンボ学生服_工場紹介｜ディライト.mp4,（145）トンボ学生服_工場紹介｜ディライト.mp4,（145）トンボ学生服_工場紹介｜ディライト_1.mp4
150,パナソニック株式会社 エレクトリックワークス社,（直下）,2:09,129.3,1920x1080,16:9,横,29.97,h264,aac,5.2,84,あり,（150）パナソニック株式会社 エレクトリックワークス社.mp4,（150）パナソニック株式会社 エレクトリックワークス社.mp4,（150）パナソニック株式会社 エレクトリックワークス社_1.mp4
150,ルンドベック_働くうつ研究背景説明動画,（直下）,3:21,200.6,1920x1080,16:9,横,29.97,h264,aac,10.3,257,あり,（150）ルンドベック_働くうつ研究背景説明動画.mp4,（150）ルンドベック_働くうつ研究背景説明動画.mp4,（150）ルンドベック_働くうつ研究背景説明動画_1.mp4
152,チョイスホテルズ　コンフォートERA_プロモーション_シンクスデザイニングプロ,（直下）,2:10,129.9,1920x1080,16:9,横,29.97,h264,aac,25.4,412,あり,（152）チョイスホテルズ　コンフォートERA_プロモーション_シンクスデザイニングプロ.mp4,（152）チョイスホテルズ　コンフォートERA_プロモーション_シンクスデザイニングプロ.mp4,（152）チョイスホテルズ　コンフォートERA_プロモーション_シンクスデザイニングプロ_1.mp4
154,日本アート印刷様｜まるなげPV,（直下）,1:10,70.2,1920x1080,16:9,横,29.97,h264,aac,5.0,44,あり,（154）日本アート印刷様｜まるなげPV.mp4,（154）日本アート印刷様｜まるなげPV.mp4,（154）日本アート印刷様｜まるなげPV_1.mp4
159,ガリレイパネルクリエイト_工場紹介_ディライト,（直下）,4:20,260.3,1920x1080,16:9,横,29.97,h264,aac,12.6,409,あり,（159）ガリレイパネルクリエイト_工場紹介_ディライト.mp4,（159）ガリレイパネルクリエイト_工場紹介_ディライト.mp4,（159）ガリレイパネルクリエイト_工場紹介_ディライト_1.mp4
172,コスモテック｜50周年記念動画,（直下）,3:23,202.6,1920x1080,16:9,横,23.976,h264,aac,15.4,390,あり,（172）コスモテック｜50周年記念動画.mp4,（172）コスモテック｜50周年記念動画.mp4,（172）コスモテック｜50周年記念動画_1.mp4
184,NEXCO西日本_新名神高速道路_大阪西事務所_外注,（直下）,8:31,510.6,1920x1080,16:9,横,29.97,h264,aac,19.0,1215,あり,（184）NEXCO西日本_新名神高速道路_大阪西事務所_外注.mp4,（184）NEXCO西日本_新名神高速道路_大阪西事務所_外注.mp4,（184）NEXCO西日本_新名神高速道路_大阪西事務所_外注_1.mp4
218,NEXCO西日本コミュニーケーションズ_新名神高速道路_京都事務所,（直下）,13:57,836.7,1920x1080,16:9,横,29.97,h264,aac,10.6,1105,あり,（218）NEXCO西日本コミュニーケーションズ_新名神高速道路_京都事務所.mp4,（218）NEXCO西日本コミュニーケーションズ_新名神高速道路_京都事務所.mp4,（218）NEXCO西日本コミュニーケーションズ_新名神高速道路_京都事務所_1.mp4
223,マックス_ブランディング2025_MAX,（直下）,1:15,75.4,1920x1080,16:9,横,23.976,h264,aac,16.2,153,あり,（223）マックス_ブランディング2025_MAX.mp4,（223）マックス_ブランディング2025_MAX.mp4,（223）マックス_ブランディング2025_MAX_1.mp4
225,清和ビジネス｜ロゴリニューアル・ブランディング映像,（直下）,1:00,60.1,1920x1080,16:9,横,29.97,h264,aac,5.8,43,あり,（225）清和ビジネス｜ロゴリニューアル・ブランディング映像.mp4,（225）清和ビジネス｜ロゴリニューアル・ブランディング映像.mp4,（225）清和ビジネス｜ロゴリニューアル・ブランディング映像_1.mp4
242,なんつね_拠点紹介,（直下）,14:14,853.9,1920x1080,16:9,横,29.97,h264,aac,10.6,1133,あり,（242）なんつね_拠点紹介.mp4,（242）なんつね_拠点紹介.mp4,（242）なんつね_拠点紹介_1.mp4
250,力（フォース）を、操れ。D FORCEデビュー！【ソフトテニスラケット】,（直下）,0:39,39.0,1920x1080,16:9,横,29.97,h264,aac,5.1,25,あり,（250）力（フォース）を、操れ。D FORCEデビュー！【ソフトテニスラケット】.mp4,（250）力（フォース）を、操れ。D FORCEデビュー！【ソフトテニスラケット】.mp4,（250）力（フォース）を、操れ。D FORCEデビュー！【ソフトテニスラケット】_1.mp4
281,ハウスコミュニケーションTVCM｜3びきのこぶた編　30秒,（直下）,0:30,30.0,1920x1080,16:9,横,29.97,h264,aac,12.3,46,あり,（281）ハウスコミュニケーションTVCM｜3びきのこぶた編　30秒.mp4,（281）ハウスコミュニケーションTVCM｜3びきのこぶた編　30秒.mp4,（281）ハウスコミュニケーションTVCM｜3びきのこぶた編　30秒_1.mp4
300,株式会社カワタ_展示会用製品紹介動画,（直下）,2:56,176.2,1920x1080,16:9,横,29.97,h264,aac,5.5,121,あり,（300）株式会社カワタ_展示会用製品紹介動画.mp4,（300）株式会社カワタ_展示会用製品紹介動画.mp4,（300）株式会社カワタ_展示会用製品紹介動画_1.mp4
330,ダスキン　ビジネスショー　コンセプトムービー,（直下）,3:18,198.1,3840x2160,16:9,横,29.97,h264,aac,20.4,505,あり,（330）ダスキン　ビジネスショー　コンセプトムービー.mp4,（330）ダスキン　ビジネスショー　コンセプトムービー.mp4,（330）ダスキン　ビジネスショー　コンセプトムービー_1.mp4
353,ダイキン｜軽井沢迎賓館動画｜自然編,（直下）,3:20,200.0,1920x360,16:3,横,29.97,h264,aac,5.6,140,あり,(353)ダイキン｜軽井沢迎賓館動画｜自然編.mp4,(353)ダイキン｜軽井沢迎賓館動画｜自然編.mp4,(353)ダイキン｜軽井沢迎賓館動画｜自然編_1.mp4
450,産案_ジブラルタ生命_ブランディング_採用,（直下）,1:25,85.3,1920x1080,16:9,横,29.97,h264,aac,5.4,57,あり,（450）産案_ジブラルタ生命_ブランディング_採用.mp4,（450）産案_ジブラルタ生命_ブランディング_採用.mp4,（450）産案_ジブラルタ生命_ブランディング_採用_1.mp4
500,行政_プロモーション_ブランディング_テレビCM_動画広告_新通コム_グアム政府観光局,（直下）,1:28,87.6,1920x1080,16:9,横,29.97,h264,aac,5.4,59,あり,（500）行政_プロモーション_ブランディング_テレビCM_動画広告_新通コム_グアム政府観光局.mp4,（500）行政_プロモーション_ブランディング_テレビCM_動画広告_新通コム_グアム政府観光局.mp4,（500）行政_プロモーション_ブランディング_テレビCM_動画広告_新通コム_グアム政府観光局_1.mp4
600,NEXCO_OJTドラマ_設計協議環境問題,（直下）,45:14,2713.8,1920x1080,16:9,横,29.97,h264,aac,8.3,2801,あり,（600）NEXCO_OJTドラマ_設計協議環境問題.mp4,（600）NEXCO_OJTドラマ_設計協議環境問題.mp4,（600）NEXCO_OJTドラマ_設計協議環境問題_1.mp4
,キャンプコマース配信動画_録画,ライブコマース事例,0:20,20.4,886x1920,0.46:1,縦,59.94,h264,aac,18.2,46,,キャンプコマース配信動画_録画.MP4,ライブコマース事例/キャンプコマース配信動画_録画.MP4,
,弊社コラボ_ライブコマース動画①,ライブコマース事例,0:28,28.2,576x1024,9:16,縦,30.0,hevc,aac,4.6,16,,弊社コラボ_ライブコマース動画①.MOV,ライブコマース事例/弊社コラボ_ライブコマース動画①.MOV,
,弊社コラボ_ライブコマース動画②,ライブコマース事例,1:02,62.1,562x1218,0.46:1,縦,30.0,h264,aac,1.3,10,,弊社コラボ_ライブコマース動画②.MP4,ライブコマース事例/弊社コラボ_ライブコマース動画②.MP4,
,2025_名古屋デモリール,名古屋デモリール事例,1:08,68.1,1920x1080,16:9,横,29.97,h264,aac,9.4,80,,2025_名古屋デモリール.mp4,名古屋デモリール事例/2025_名古屋デモリール.mp4,
,1714546549b19194ffa1af0f2ae644b031342e4f40,名古屋デモリール事例/素材,1:00,60.1,608x1080,0.56:1,縦,29.97,h264,aac,5.7,43,,1714546549b19194ffa1af0f2ae644b031342e4f40.mp4,名古屋デモリール事例/素材/1714546549b19194ffa1af0f2ae644b031342e4f40.mp4,
,1_プロモーション用_ver2,名古屋デモリール事例/素材,0:46,46.0,1080x1920,9:16,縦,30.0,h264,aac,10.4,60,,1_プロモーション用_ver2.mp4,名古屋デモリール事例/素材/1_プロモーション用_ver2.mp4,
,241022_光令様_v3.mp4,名古屋デモリール事例/素材,1:23,83.2,1920x1080,16:9,横,30.0,h264,aac,30.3,315,,241022_光令様_v3.mp4.mp4,名古屋デモリール事例/素材/241022_光令様_v3.mp4.mp4,
,ASNOVA市場,名古屋デモリール事例/素材,0:40,40.0,1920x1080,16:9,横,24.0,h264,aac,15.0,75,,ASNOVA市場.mp4,名古屋デモリール事例/素材/ASNOVA市場.mp4,
,CM_1LTM230801,名古屋デモリール事例/素材,0:30,30.0,1920x1080,16:9,横,29.97,h264,aac,10.3,39,,CM_1LTM230801.mp4,名古屋デモリール事例/素材/CM_1LTM230801.mp4,
,HATARABAブランディングムービー_ロングver,名古屋デモリール事例/素材,1:22,82.3,1920x1080,16:9,横,29.97,h264,aac,25.5,263,,HATARABAブランディングムービー_ロングver.mp4,名古屋デモリール事例/素材/HATARABAブランディングムービー_ロングver.mp4,
,WK_PRmovie_long,名古屋デモリール事例/素材,3:14,194.3,1920x1080,16:9,横,29.97,h264,aac,15.3,373,,WK_PRmovie_long.mp4,名古屋デモリール事例/素材/WK_PRmovie_long.mp4,
,YHHC_BR_60sec_fin,名古屋デモリール事例/素材,1:00,60.1,1920x1080,16:9,横,23.976,h264,aac,15.0,113,,YHHC_BR_60sec_fin.mp4,名古屋デモリール事例/素材/YHHC_BR_60sec_fin.mp4,
,comp_pt2,名古屋デモリール事例/素材,2:00,120.1,1920x1080,16:9,横,29.97,h264,aac,9.8,148,,comp_pt2.mp4,名古屋デモリール事例/素材/comp_pt2.mp4,
